Frequency,Age,Conductivity_Mean,RelativePermittivity_Mean,Label,Orientation_Transverse,Disease_ActRIIB,Disease_MDX,Disease_PBS,Disease_SMA
15000,6,0.209476707,46505.94571,0,TRUE,FALSE,TRUE,FALSE,FALSE
15000,40,0.139858227,30776.98505,0,FALSE,FALSE,FALSE,FALSE,TRUE
15000,40,0.045389348,17469.27103,0,TRUE,FALSE,FALSE,FALSE,TRUE
18000,16,0.084180696,38636.59771,0,FALSE,FALSE,FALSE,FALSE,FALSE
18000,16,0.079428533,35295.68825,0,TRUE,FALSE,FALSE,FALSE,FALSE
18000,18,0.085517002,41579.20128,0,FALSE,FALSE,FALSE,FALSE,FALSE
18000,18,0.073223408,31617.36066,0,TRUE,FALSE,FALSE,FALSE,FALSE
18000,8,0.172658454,69893.09455,0,FALSE,FALSE,FALSE,FALSE,FALSE
18000,8,0.078942376,42168.50895,0,TRUE,FALSE,FALSE,FALSE,FALSE
18000,10,0.326841176,61806.44198,0,FALSE,FALSE,TRUE,FALSE,FALSE
18000,10,0.21837033,47719.38762,0,TRUE,FALSE,TRUE,FALSE,FALSE
18000,13,0.367548419,68524.52424,0,FALSE,FALSE,TRUE,FALSE,FALSE
18000,13,0.279719272,62544.25726,0,TRUE,FALSE,TRUE,FALSE,FALSE
18000,43,0.155598189,21750.95925,0,FALSE,FALSE,TRUE,FALSE,FALSE
18000,43,0.093568189,20894.12606,0,TRUE,FALSE,TRUE,FALSE,FALSE
18000,6,0.321903576,53940.43413,0,FALSE,FALSE,TRUE,FALSE,FALSE
18000,6,0.213184348,42232.15698,0,TRUE,FALSE,TRUE,FALSE,FALSE
18000,40,0.142863757,27127.49993,0,FALSE,FALSE,FALSE,FALSE,TRUE
18000,40,0.046764637,16190.5081,0,TRUE,FALSE,FALSE,FALSE,TRUE
22000,16,0.088294402,35365.09896,0,FALSE,FALSE,FALSE,FALSE,FALSE
22000,16,0.083035876,32427.38143,0,TRUE,FALSE,FALSE,FALSE,FALSE
22000,18,0.089703782,38344.12354,0,FALSE,FALSE,FALSE,FALSE,FALSE
22000,18,0.076467051,28989.4388,0,TRUE,FALSE,FALSE,FALSE,FALSE
22000,8,0.18071864,63033.80803,0,FALSE,FALSE,FALSE,FALSE,FALSE
22000,8,0.083151945,39182.47887,0,TRUE,FALSE,FALSE,FALSE,FALSE
22000,10,0.334520969,53897.12613,0,FALSE,FALSE,TRUE,FALSE,FALSE
22000,10,0.223802821,42730.1561,0,TRUE,FALSE,TRUE,FALSE,FALSE
22000,13,0.376360703,59830.36797,0,FALSE,FALSE,TRUE,FALSE,FALSE
22000,13,0.286960132,55762.87831,0,TRUE,FALSE,TRUE,FALSE,FALSE
22000,43,0.158170004,18626.03572,0,FALSE,FALSE,TRUE,FALSE,FALSE
22000,43,0.095927488,18692.00304,0,TRUE,FALSE,TRUE,FALSE,FALSE
22000,6,0.328717917,47032.08874,0,FALSE,FALSE,TRUE,FALSE,FALSE
22000,6,0.217906332,38036.53435,0,TRUE,FALSE,TRUE,FALSE,FALSE
22000,40,0.146287173,23620.78778,0,FALSE,FALSE,FALSE,FALSE,TRUE
22000,40,0.04844935,14802.62989,0,TRUE,FALSE,FALSE,FALSE,TRUE
26000,16,0.092095082,32742.87651,0,FALSE,FALSE,FALSE,FALSE,FALSE
26000,16,0.086578867,30257.7296,0,TRUE,FALSE,FALSE,FALSE,FALSE
26000,18,0.093855165,35730.12717,0,FALSE,FALSE,FALSE,FALSE,FALSE
26000,18,0.079497936,27139.35286,0,TRUE,FALSE,FALSE,FALSE,FALSE
26000,8,0.188345334,57526.20559,0,FALSE,FALSE,FALSE,FALSE,FALSE
26000,8,0.087140563,36608.07784,0,TRUE,FALSE,FALSE,FALSE,FALSE
26000,10,0.341564003,48148.94582,0,FALSE,FALSE,TRUE,FALSE,FALSE
26000,10,0.228861558,38904.08624,0,TRUE,FALSE,TRUE,FALSE,FALSE
26000,13,0.384190486,53408.51299,0,FALSE,FALSE,TRUE,FALSE,FALSE
26000,13,0.293706314,50667.96233,0,TRUE,FALSE,TRUE,FALSE,FALSE
26000,43,0.160432694,16423.27082,0,FALSE,FALSE,TRUE,FALSE,FALSE
26000,43,0.098011564,17135.18445,0,TRUE,FALSE,TRUE,FALSE,FALSE
26000,6,0.334916157,41753.44961,0,FALSE,FALSE,TRUE,FALSE,FALSE
26000,6,0.222207317,34814.0893,0,TRUE,FALSE,TRUE,FALSE,FALSE
26000,40,0.149299522,21034.42764,0,FALSE,FALSE,FALSE,FALSE,TRUE
26000,40,0.050045571,13729.60715,0,TRUE,FALSE,FALSE,FALSE,TRUE
31000,16,0.096762759,30212.85506,0,FALSE,FALSE,FALSE,FALSE,FALSE
31000,16,0.090983001,27932.86131,0,TRUE,FALSE,FALSE,FALSE,FALSE
31000,18,0.098224107,33242.19824,0,FALSE,FALSE,FALSE,FALSE,FALSE
31000,18,0.082866909,25127.86095,0,TRUE,FALSE,FALSE,FALSE,FALSE
31000,8,0.197033946,52351.2722,0,FALSE,FALSE,FALSE,FALSE,FALSE
31000,8,0.092165863,34139.39164,0,TRUE,FALSE,FALSE,FALSE,FALSE
31000,10,0.349368983,42628.11639,0,FALSE,FALSE,TRUE,FALSE,FALSE
31000,10,0.23473567,35356.24667,0,TRUE,FALSE,TRUE,FALSE,FALSE
31000,13,0.393122946,47260.94303,0,FALSE,FALSE,TRUE,FALSE,FALSE
31000,13,0.301574513,45805.53577,0,TRUE,FALSE,TRUE,FALSE,FALSE
31000,43,0.162885625,14353.66463,0,FALSE,FALSE,TRUE,FALSE,FALSE
31000,43,0.100588943,15508.66655,0,TRUE,FALSE,TRUE,FALSE,FALSE
31000,6,0.341776886,36778.62739,0,FALSE,FALSE,TRUE,FALSE,FALSE
31000,6,0.227279993,31747.9538,0,TRUE,FALSE,TRUE,FALSE,FALSE
31000,40,0.152881663,18557.60846,0,FALSE,FALSE,FALSE,FALSE,TRUE
31000,40,0.05209562,12651.5575,0,TRUE,FALSE,FALSE,FALSE,TRUE
37000,16,0.102025071,27816.80118,0,FALSE,FALSE,FALSE,FALSE,FALSE
37000,16,0.095853693,25806.21096,0,TRUE,FALSE,FALSE,FALSE,FALSE
37000,18,0.103274334,30576.86368,0,FALSE,FALSE,FALSE,FALSE,FALSE
37000,18,0.086876676,23205.55256,0,TRUE,FALSE,FALSE,FALSE,FALSE
37000,8,0.206674157,47523.72442,0,FALSE,FALSE,FALSE,FALSE,FALSE
37000,8,0.097658562,31787.52536,0,TRUE,FALSE,FALSE,FALSE,FALSE
37000,10,0.357908093,37632.59881,0,FALSE,FALSE,TRUE,FALSE,FALSE
37000,10,0.241328849,31911.25253,0,TRUE,FALSE,TRUE,FALSE,FALSE
37000,13,0.402641007,41687.89625,0,FALSE,FALSE,TRUE,FALSE,FALSE
37000,13,0.310058721,41318.37689,0,TRUE,FALSE,TRUE,FALSE,FALSE
37000,43,0.165613471,12557.31322,0,FALSE,FALSE,TRUE,FALSE,FALSE
